,Company,Date Joined,Industry,Country,City,Continent,Year Founded,Funding,Valuation (March) ($B),Select Investors (March),Valuation (November) ($B),Select Investors (November),Years to Unicorn,Most Recent Valuation
131,Checkr,2019-09-19,Internet Software And Services,United States,San Francisco,North America,2014,$559M,5,"Y Combinator, Accel, T. Rowe Price",4.6,"Y Combinator, Accel, T. Rowe Price",5,4.6
132,Color,2021-01-04,Health,United States,Burlingame,North America,2013,$497M,5,"General Catalyst, Viking Global Investors, T. Rowe Price",4.6,"General Catalyst, Viking Global Investors, T. Rowe Price",8,4.6
133,Dataiku,2019-12-04,Internet Software And Services,United States,New York,North America,2013,$647M,5,"Alven Capital, FirstMark Capital, capitalG",4.6,"Alven Capital, FirstMark Capital, capitalG",6,4.6
134,BetterUp,2021-02-25,Internet Software And Services,United States,San Francisco,North America,2013,$567M,5,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital",4.7,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital",8,4.7
135,Pleo,2021-07-06,Fintech,Denmark,Copenhagen,Europe,2015,$428M,5,"Creandum, Founders, Kinnevik",4.7,"Creandum, Founders, Kinnevik",6,4.7
136,Trade Republic,2021-05-20,Fintech,Germany,Berlin,Europe,2015,$996M,5,"Founders Fund, Accel, Creandum",5.36,"Founders Fund. Accel, Creandum",6,5.36
137,Chipone,2021-12-16,Hardware,China,Beijing,Asia,2008,$1B,5,"China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment",4.73,"China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment",13,4.73
138,Collibra,2019-01-29,Data Management And Analytics,Belgium,Brussels,Europe,2008,$596M,5,"Index Ventures, Battery Ventures, ICONIQ Capital",5.25,"Index Ventures, Battery Ventures, ICONIQ Capital",11,5.25
139,Rappi,2018-08-31,"Supply Chain, Logistics, And Delivery",Colombia,Bogota,South America,2015,$2B,5,"DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures",5.25,"DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures",3,5.25
140,6Sense,2021-03-30,Artificial Intelligence,United States,San Francisco,North America,2013,$426M,5,"Venrock, Battery Ventures, Insight Partners",5.2,"Venrock, Battery Ventures, Insight Partners",8,5.2
141,Cerebral,2021-06-10,Health,United States,San Francisco,North America,2020,$462M,5,"Oak HC/FT Partners, Artis Ventures, WestCap Group",4.8,"Oak HC/FT Partners, Artis Ventures, WestCap Group",1,4.8
142,Creditas,2020-12-18,Fintech,Brazil,Sao Paulo,South America,2012,$824M,5,"Kaszek Ventures, Amadeus Capital Partners, Quona Capital",4.8,"Kaszek Ventures, Amadeus Capital Partners, Quona Capital",8,4.8
143,OneTrust,2019-07-11,Internet Software And Services,United States,Atlanta,North America,2016,$926M,5,Insight Partners,5.1,Insight Partners,3,5.1
144,QuintoAndar,2019-09-09,E-commerce And Direct-to-consumer,Brazil,Campinas,South America,2012,$755M,5,"Kaszek Ventures, General Atlantic, SoftBank Group",5.1,"Kaszek Ventures, General Atlantic, SoftBank Group",7,5.1
145,C6 Bank,2020-12-02,Fintech,Brazil,Sao Paulo,South America,2018,$2B,5,Credit Suisse,5.05,Credit Suisse,2,5.05
146,Cockroach Labs,2021-01-12,Data Management And Analytics,United States,New York,North America,2015,$633M,5,"Google Ventures, Benchmark, FirstMark Capital",5.0,"Google Ventures, Benchmark, FirstMark Capital",6,5.0
147,Hopper,2021-03-24,Travel,Canada,Montreal,North America,2007,$599M,5,"Capital One Growth Ventures, Citi Ventures, OMERS Ventures",5.0,"Capital One Growth Ventures, Citi Ventures, OMERS Ventures",14,5.0
148,Icertis,2019-07-17,Artificial Intelligence,United States,Bellevue,North America,2009,$371M,5,"Eight Roads Ventures, Greycroft, Ignition Partners",5.0,"Eight Roads Ventures, Greycroft, Ignition Partners",10,5.0
149,Moon Active,2020-01-26,Mobile And Telecommunications,Israel,Tel Aviv,Asia,2011,$425M,5,"Insight Partners, Andalusian Capital Partners",5.0,"Insight Partners, Andalusian Capital Partners",9,5.0
150,OfBusiness,2021-07-31,E-commerce And Direct-to-consumer,India,Gurgaon,Asia,2015,$734M,5,"Matrix Partners India, Falcon Edge Capital, SoftBank Group",5.0,"Matrix Partners India, Falcon Edge Capital, SoftBank Group",6,5.0
151,Ola Electric Mobility,2019-07-02,Auto And Transportation,India,Bengaluru,Asia,2019,$761M,5,"SoftBank Group, Tiger Global Management, Matrix Partners India",5.0,"SoftBank Group, Tiger Global Management, Matrix Partners India",0,5.0
152,Pine Labs,2020-01-24,Fintech,India,Noida,Asia,1998,$903M,5,"Sequoia Capital India, Temasek, PayPal Ventures",5.0,"Sequoia Capital India, Temasek, PayPal Ventures",22,5.0
153,Qonto,2022-01-11,Fintech,France,Paris,Europe,2016,$704M,5,"Alven Capital, Valar Ventures, Tencent Holdings",5.0,"Alven Capital, Valar Ventures, Tencent Holdings",6,5.0
154,SambaNova Systems,2021-04-13,Data Management And Analytics,United States,Palo Alto,North America,2017,$1B,5,"Walden International, Google Ventures, Intel Capital",5.0,"Walden International, Google Ventures, Intel Capital",4,5.0
155,WM Motor,2019-03-08,Auto And Transportation,China,Shanghai,Asia,2015,$4B,5,"Baidu Capital, Linear Venture, Tencent",5.0,"Baidu Capital, Linear Venture, Tencent",4,5.0
156,ZEPZ,2021-08-23,Fintech,United Kingdom,London,Europe,2010,$655M,5,"Accel, Technology Crossover Ventures, LeapFrog Investments",5.0,"Accel, Technology Crossover Ventures, LeapFrog Investments",11,5.0
157,Abogen,2021-11-29,Health,China,Suzhou,Asia,2019,$1B,4,"Hillhouse Capital Management, SoftBank Group, Qiming Venture Partners",3.7,"Hillhouse Capital Management, SoftBank Group, Qiming Venture Partners",2,3.7
158,Greensill,2018-07-16,Fintech,United Kingdom,London,Europe,2011,$2B,4,"SoftBank Group, General Atlantic",4.0,"SoftBank Group, General Atlantic",7,4.0
159,HyalRoute,2020-05-26,Mobile And Telecommunications,Singapore,,Asia,2015,$263M,4,Kuang-Chi,3.5,Kuang-Chi,5,3.5
160,Radiology Partners,2018-02-26,Health,United States,El Segundo,North America,2012,$1B,4,"New Enterprise Associates, Starr Investment Holdings",4.0,"New Enterprise Associates, Starr Investment Holdings",6,4.0
161,Yello Mobile,2014-11-11,Mobile And Telecommunications,South Korea,Seoul,Asia,2012,$216M,4,Formation 8,4.0,Formation 8,2,4.0
162,Turing,2021-12-20,Internet Software And Services,United States,Palo Alto,North America,2018,$128M,4,"Foundation Capital, Frontier Ventures, AltaIR Capital",1.1,"Foundation Capital, Frontier Ventures, AltaIR Capital",3,1.1
163,Lenskart,2019-12-20,E-commerce And Direct-to-consumer,India,Faridabad,Asia,2008,$776M,4,"Chiratae Ventures, PremjiInvest, Softbank",4.5,"Chiratae Ventures, PremjiInvest, Softbank",11,4.5
164,Kraken,2019-06-25,Fintech,United States,San Francisco,North America,2011,$119M,4,"Bnk To The Future, Trammell Ventures, SBI Investment",2.92,"Bnk To The Future, Trammell Ventures, SBI Investment",8,2.92
165,Horizon Robotics,2019-02-27,Artificial Intelligence,China,Beijing,Asia,2015,$2B,4,"Hillhouse Capital Management, Linear Venture, Morningside Venture Capital",5.0,"Hillhouse Capital Management, Linear Venture, Morningside Venture Capital",4,5.0
166,MoonPay,2021-11-22,Fintech,United States,Miami,North America,2019,$555M,4,"New Enterprise Associates, Coatue Management, Tiger Global Management",3.4,"New Enterprise Associates, Coatue Management, Tiger Global Management",2,3.4
167,Celsius Network,2021-10-12,Fintech,United States,Hoboken,North America,2017,$864M,4,"WestCap Group, Caisse de depot et placement du Quebec",3.5,"WestCap Group, Caisse de depot et placement du Quebec",4,3.5
168,ChargeBee Technologies,2021-04-20,Fintech,United States,Walnut,North America,2011,$468M,4,"Insight Partners, Tiger Global Management, Accel",3.5,"Insight Partners, Tiger Global Management, Accel",10,3.5
169,Coalition,2021-03-17,Cybersecurity,United States,San Francisco,North America,2017,$505M,4,"Two Sigma Ventures, Flint Capital, Commerce Ventures",5.0,"Two Sigma Ventures, Flint Capital, Commerce Ventures",4,5.0
170,Commure,2021-09-16,Internet Software And Services,United States,San Francisco,North America,2017,$542M,4,"General Catalyst, HCA Healthcare",3.5,"General Catalyst, HCA Healthcare",4,3.5
171,Flock Safety,2021-07-13,Hardware,United States,Atlanta,North America,2017,$381M,4,"Matrix Partners, Initialized Capital, Tiger Global Management",3.5,"Matrix Partners, Initialized Capital, Tiger Global Management",4,3.5
172,Handshake,2021-05-12,Internet Software And Services,United States,San Francisco,North America,2014,$434M,4,"Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures",3.5,"Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures",7,3.5
173,Highspot,2021-02-22,Internet Software And Services,United States,Seattle,North America,2013,$643M,4,"Madrona Venture Group, Shasta Ventures, Salesforce Ventures",3.5,"Madrona Venture Group, Shasta Ventures, Salesforce Ventures",8,3.5
174,Indigo Ag,2017-09-26,Artificial Intelligence,United States,Boston,North America,2014,$1B,4,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co.",3.5,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co.",3,3.5
175,Mirakl,2020-09-22,E-commerce And Direct-to-consumer,France,Paris,Europe,2011,$948M,4,"Elaia Partners, 83North, Felix Capital",3.5,"Elaia Partners, 83North, Felix Capital",9,3.5
176,Rec Room,2021-03-23,Internet Software And Services,United States,Seattle,North America,2016,$294M,4,"First Round Capital, Sequoia Capital, Index Ventures",3.5,"First Round Capital, Sequoia Capital, Index Ventures",5,3.5
177,Tekion,2020-10-21,Internet Software And Services,United States,San Ramon,North America,2016,$435M,4,"Airbus Ventures, Index Ventures, Advent International",3.5,"Airbus Ventures, Index Ventures, Advent International",4,3.5
178,Otto Bock HealthCare,2017-06-24,Health,Germany,Duderstadt,Europe,1919,$0M,4,EQT Partners,3.52,EQT Partners,98,3.52
179,Outreach,2019-04-16,Internet Software And Services,United States,Seattle,North America,2011,$489M,4,"Mayfield Fund, M12, Trinity Ventures",4.4,"Mayfield Fund, M12, Trinity Ventures",8,4.4
180,WeRide,2020-12-23,Auto And Transportation,China,Guangzhou,Asia,2017,$1B,4,"Atop Capital, IDInvest Partners, Qiming Venture Partners",4.4,"Atop Capital, IDInvest Partners, Qiming Venture Partners",3,4.4
181,Applied Intuition,2020-10-22,Data Management And Analytics,United States,Sunnyvale,North America,2017,$352M,4,"Andreessen Horowitz, Lux Capital, General Catalyst",3.6,"Andreessen Horowitz, Lux Capital, General Catalyst",3,3.6
182,Course Hero,2020-02-12,Edtech,United States,Redwood City,North America,2006,$477M,4,"NewView Capital, Maveron, Ridge Ventures",3.6,"NewView Capital, Maveron, Ridge Ventures",14,3.6
183,Relativity,2021-03-18,Internet Software And Services,United States,Chicago,North America,2001,$125M,4,"Silver Lake, ICONIQ Capital",3.6,"Silver Lake, ICONIQ Capital",20,3.6
184,Whoop,2020-10-28,E-commerce And Direct-to-consumer,United States,Boston,North America,2012,$404M,4,"NextView Ventures, Promus Ventures, Two Sigma Ventures",3.6,"NextView Ventures, Promus Ventures, Two Sigma Ventures",8,3.6
185,Arctic Wolf Networks,2020-10-22,Cybersecurity,United States,Eden Prairie,North America,2012,$498M,4,"Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors",4.3,"Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors",8,4.3
186,GOAT,2020-09-23,E-commerce And Direct-to-consumer,United States,Culver City,North America,2015,$493M,4,"Upfront Ventures, Webb Investment Network, D1 Capital Partners",3.7,"Upfront Ventures, Webb Investment Network, D1 Capital Partners",5,3.7
187,Noom,2021-05-24,Health,United States,New York,North America,2006,$657M,4,"Qualcomm Ventures, Samsung Ventures, Silver Lake",3.7,"Qualcomm Ventures, Samsung Ventures, Silver Lake",15,3.7
188,Papaya Global,2021-03-04,Internet Software And Services,United States,New York,North America,2016,$440M,4,"Bessemer Venture Partners, Insight Partners, New Era Ventures",3.7,"Bessemer Venture Partners, Insight Partners, New Era Ventures",5,3.7
189,Redwood Materials,2021-07-28,Other,United States,Carson City,North America,2017,$792M,4,"Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners",3.7,"Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners",4,3.7
190,ShareChat,2021-04-08,Internet Software And Services,India,Bengaluru,Asia,2015,$1B,4,"India Quotient, Elevation Capital, Lightspeed Venture Partners",5.0,"India Quotient, Elevation Capital, Lightspeed Venture Partners",6,5.0
191,Sorare,2021-09-21,E-commerce And Direct-to-consumer,France,Paris,Europe,2019,$739M,4,"Benchmark, Accel, SoftBank Group",4.3,"Benchmark, Accel, SoftBank Group",2,4.3
192,VAST Data,2020-04-16,Data Management And Analytics,United States,New York,North America,2016,$263M,4,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital",3.7,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital",4,3.7
193,Articulate,2021-07-01,Edtech,United States,New York,North America,2015,$2B,4,"Blackstone, ICONIQ Growth, General Atlantic",3.75,"Blackstone, ICONIQ Growth, General Atlantic",6,3.75
194,Dutchie,2021-03-16,E-commerce And Direct-to-consumer,United States,Bend,North America,2017,$603M,4,"Casa Verde Capital, Gron Ventures, Thrity Five Ventures",3.75,"Casa Verde Capital, Gron Ventures, Thrity Five Ventures",4,3.75
195,FalconX,2021-08-10,Fintech,United States,San Mateo,North America,2018,$324M,4,"Tiger Global Management, American Express Ventures, B Capital Group",8.0,"Tiger Global Management, American Express Ventures, B Capital Group",3,8.0
196,Guild Education,2019-11-13,Internet Software And Services,United States,Denver,North America,2015,$379M,4,"General Atlantic, Blackstone, ICONIQ Growth",4.4,"General Atlantic, Blackstone, ICONIQ Growth",4,4.4
197,Chainalysis,2020-11-23,Fintech,United States,New York,North America,2014,$367M,4,"Addition, Benhcmark, Accel",8.6,"Addition, Benhcmark, Accel",6,8.6
198,dbt Labs,2021-06-30,Data Management And Analytics,United States,Philadelphia,North America,2016,$414M,4,"Andreessen Horowitz, Amplify Partners, Sequoia Capital",4.2,"Andreessen Horowitz, Amplify Partners, Sequoia Capital",5,4.2
199,Globalization Partners,2022-01-24,Internet Software And Services,United States,Boston,North America,2012,$350M,4,"Vista Equity Partners, Wincove, TDR Capital",4.2,"Vista Equity Partners, Wincove, TDR Capital",10,4.2
200,Intarcia Therapeutics,2014-04-01,Health,United States,Boston,North America,1995,$1B,4,"New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital",3.8,"New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital",19,3.8
201,Relativity Space,2020-11-23,Other,United States,Inglewood,North America,2016,$1B,4,"Playground Global, Bond, Tribe Capital",4.2,"Playground Global, Bond, Tribe Capital",4,4.2
202,StockX,2019-06-26,E-commerce And Direct-to-consumer,United States,Detroit,North America,2016,$495M,4,"Google Ventures, Battery Ventures, DST Global",3.8,"Google Ventures, Battery Ventures, DST Global",3,3.8
203,ThoughtSpot,2018-05-08,Internet Software And Services,United States,Sunnyvale,North America,2012,$664M,4,"Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital",4.2,"Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital",6,4.2
204,SSENSE,2021-06-08,E-commerce And Direct-to-consumer,Canada,Montreal,North America,2003,Unknown,4,Sequoia Capital,4.15,Sequoia Capital,18,4.15
205,BitPanda,2021-03-16,Fintech,Austria,Vienna,Europe,2014,$546M,4,"Speedinvest, Valar Ventures, Uniqa Ventures",4.11,"Speedinvest, Valar Ventures, Uniqa Ventures",7,4.11
206,Dataminr,2018-06-04,Artificial Intelligence,United States,New York,North America,2009,$1B,4,"Venrock, Institutional Venture Partners, Goldman Sachs",4.1,"Venrock, Institutional Venture Partners, Goldman Sachs",9,4.1
207,Weee!,2021-03-16,"Supply Chain, Logistics, And Delivery",United States,Fremont,North America,2015,$864M,4,"Goodwater Capital, iFly, XVC Venture Capital",4.1,"Goodwater Capital, iFly, XVC Venture Capital",6,4.1
208,Medlinker,2018-07-31,Health,China,Chengdu,Asia,2014,$761M,4,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China",3.92,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China",4,3.92
209,Hozon Auto,2022-02-22,Auto And Transportation,China,Shanghai,Asia,2014,$2B,4,"HD Capital, Qihoo 360 Technology, China Fortune Land Development",3.95,"HD Capital, Qihoo 360 Technology, China Fortune Land Development",8,3.95
210,Aurora Solar,2021-05-24,Internet Software And Services,United States,San Francisco,North America,2013,$523M,4,"Fifth Wall Ventures, Energize Ventures, ICONIQ Capital",4.0,"Fifth Wall Ventures, Energize Ventures, ICONIQ Capital",8,4.0
211,Branch,2018-09-10,Mobile And Telecommunications,United States,Redwood City,North America,2014,$667M,4,"New Enterprise Associates, Pear, Cowboy Ventures",4.0,"New Enterprise Associates, Pear, Cowboy Ventures",4,4.0
212,Branch,2018-09-10,Mobile And Telecommunications,United States,Redwood City,North America,2014,$667M,4,"New Enterprise Associates, Pear, Cowboy Ventures",1.05,"American Family Ventures, Greycroft, SignalFire",4,1.05
213,BrowserStack,2021-06-16,Internet Software And Services,Ireland,Dublin,Europe,2011,$250M,4,"Accel, Insight Partners, Bond Capital",4.0,"Accel, Insight Partners, Bond Capital",10,4.0
214,Cerebras Systems,2018-11-14,Hardware,United States,Los Altos,North America,2016,$720M,4,"Benchmark, Foundation Capital, Sequoia Capital",4.0,"Benchmark, Foundation Capital, Sequoia Capital",2,4.0
215,ClickUp,2020-12-15,Internet Software And Services,United States,San Diego,North America,2017,$535M,4,"Georgian Partners, Craft Ventures",4.0,"Georgian Partners, Craft Ventures",3,4.0
216,Clubhouse,2021-01-24,Mobile And Telecommunications,United States,San Francisco,North America,2020,$110M,4,"Andreessen Horowitz, TQ Ventures",4.0,"Andreessen Horowitz, TQ Ventures",1,4.0
